datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Blood(%),Avg_Blood(%),Milking_Time(seconds),Avg_Milking_Time(seconds),SCC(*1000/ml),Avg_SCC(*1000/ml),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr)
27/03/2018,86,6,1,256,Milk,Pregnant,35603,1483,0,0,0,0,0,0,9.3,9.3,0,0,215,197,0,0,138,21,-1,-1,-1,-1,-1,0
27/03/2018,2714,6,1,254,Milk,Pregnant,37974,1582,0,0,0,0,0,0,9.9,9.1,0,0,179,166,0,0,179,9,-1,-1,-1,-1,-1,0
28/03/2018,26,23,2,333,Milk,Pregnant,29333,1222,0,0,0,0,0,0,11.4,10,0,0,226,180,0,0,129,1,10,80,56,16,802,0
28/03/2018,86,6,1,257,Milk,Pregnant,33834,1409,0,0,0,0,0,0,9.8,9.2,0,0,213,201,0,0,163,39,-1,-1,-1,-1,-1,0
28/03/2018,2714,6,1,255,Milk,Pregnant,37202,1550,0,0,0,0,0,0,9.5,9,0,0,180,169,0,0,172,13,8,64,35,37,511,0
29/03/2018,26,23,2,334,Milk,Pregnant,29338,1222,0,0,0,0,0,0,11.5,10,0,0,193,183,0,0,136,1,8,83,46,21,667,0
29/03/2018,86,6,1,258,Milk,Pregnant,34556,1439,0,0,0,0,0,0,9.5,9.2,0,0,229,203,0,0,134,9,-1,-1,-1,-1,-1,0
29/03/2018,2714,6,1,256,Milk,Pregnant,37679,1569,0,0,0,0,0,0,9.3,9.1,0,0,188,172,0,0,158,6,9,57,36,34,517,0
30/03/2018,26,23,2,335,Milk,Pregnant,29769,1240,0,0,0,0,0,0,11.8,10.2,0,0,215,188,0,0,129,16,8,109,60,14,871,0
30/03/2018,86,6,1,259,Milk,Pregnant,35587,1482,0,0,0,0,0,0,9.6,9.3,0,0,231,205,0,0,145,14,9,74,46,21,664,0
30/03/2018,2714,6,1,257,Milk,Pregnant,38467,1602,0,0,0,0,0,0,8.9,9.1,0,0,186,174,0,0,175,12,6,76,33,44,453,0
31/03/2018,26,23,2,336,Milk,Pregnant,30328,1263,0,0,0,0,0,0,11.8,10.2,0,0,198,184,0,0,112,-15,-1,-1,-1,-1,-1,0
31/03/2018,86,6,1,260,Milk,Pregnant,36224,1509,0,0,0,0,0,0,9.5,9.3,0,0,241,212,0,0,121,0,8,93,52,17,745,0
31/03/2018,2714,6,1,258,Milk,Pregnant,37786,1574,0,0,0,0,0,0,9.5,9,0,0,186,175,0,0,227,27,10,66,44,31,664,0
1/4/18,26,23,2,337,Milk,Pregnant,29610,1233,0,0,0,0,0,0,11.4,10.3,0,0,231,187,0,0,167,29,14,60,59,16,847,0
1/4/18,86,6,1,261,Milk,Pregnant,34027,1417,0,0,0,0,0,0,9.3,9.3,0,0,230,213,0,0,162,58,8,73,41,28,586,0
1/4/18,2714,6,1,259,Milk,Pregnant,37875,1578,0,0,0,0,0,0,9.3,9,0,0,206,174,0,0,178,19,7,90,44,29,631,0
2/4/18,26,23,2,338,Milk,Pregnant,28450,1185,0,0,0,0,0,0,11.3,10.4,0,0,202,190,0,0,128,12,8,97,54,17,778,0
2/4/18,86,6,1,262,Milk,Pregnant,35437,1476,0,0,0,0,0,0,9.5,9.3,0,0,222,213,0,0,141,15,10,65,45,22,646,0
2/4/18,2714,6,1,260,Milk,Pregnant,41175,1715,0,0,0,0,0,0,9.6,9,0,0,199,174,0,0,172,17,9,63,40,36,571,0
3/4/18,26,23,2,339,Milk,Pregnant,30235,1259,3.62,0,3.18,0,3.29,0,12.1,10.6,0.1,0,228,196,137720,0,134,24,8,86,47,22,685,0
3/4/18,86,6,1,263,Milk,Pregnant,36152,1506,2.99,0,3.35,0,2.72,0,9.6,9.3,0.09,0,227,210,1836538,0,127,32,-1,-1,-1,-1,-1,0
3/4/18,2714,6,1,261,Milk,Pregnant,35616,1484,3.54,0,3.26,0,1.37,0,9,9.1,0.09,0,185,179,14893605,0,187,13,7,77,38,36,540,0
4/4/18,26,23,2,340,Milk,Pregnant,29126,1213,3.43,0,2.93,0,3.7,0,11.8,10.7,0.15,0,210,198,1202264,0,120,-2,8,122,68,13,973,0
4/4/18,86,6,1,264,Milk,Pregnant,37105,1546,3.29,0,3.4,0,2.76,0,9.5,9.3,0.15,0,246,212,26181843,0,146,8,-1,-1,-1,-1,-1,0
4/4/18,2714,6,1,262,Milk,Pregnant,41396,1724,3.81,0,3.46,0,2.72,0,9.5,9.2,0.42,0,245,181,1230269,0,197,11,9,66,41,33,592,0
5/4/18,26,23,2,341,Milk,Pregnant,28612,1192,3.74,0,3.6,0,2.92,0,11.5,10.9,0.17,0,231,201,872971,0,124,6,9,78,49,18,706,0
5/4/18,86,6,1,265,Milk,Pregnant,34718,1446,3.32,0,3.01,0,3.18,0,9.3,9.4,0.09,0,227,213,2897342,0,139,6,11,73,51,18,802,0
5/4/18,2714,6,1,263,Milk,Pregnant,37010,1542,3.37,0,3.04,0,2.88,0,8.9,9.1,0.27,0,181,179,5296634,0,193,8,-1,-1,-1,-1,-1,0
6/4/18,26,23,2,342,Milk,Pregnant,27831,1159,3.53,0,3.56,0,3.34,0,11.7,10.8,0.17,0,213,200,7430188,0,134,27,10,80,55,19,805,0
6/4/18,86,6,1,266,Milk,Pregnant,35849,1493,2.61,0,3.43,0,2.45,0,9.4,9.4,0.13,0,229,217,12050355,0,126,-7,9,83,52,17,748,0
6/4/18,2714,6,1,264,Milk,Pregnant,37191,1549,3.36,0,3.07,0,2.22,0,9.1,9.1,0.1,0,205,183,11614487,0,190,4,-1,-1,-1,-1,-1,0
7/4/18,26,23,2,343,Milk,Pregnant,30954,1289,3.26,0,2.71,0,2.23,0,11.5,10.9,0.17,0,228,205,9397234,0,132,5,8,102,57,15,817,0
7/4/18,86,6,1,267,Milk,Pregnant,34158,1423,2.77,0,3.55,0,2.62,0,9.5,9.4,0.09,0,207,218,2079695,0,151,24,-1,-1,-1,-1,-1,0
